reg_std,mean,median,length,featsavg,feats_std,feats_med,th25,th50,th75,low,class
23.887,105.29,115.34,428,71.158,20.057,81.625,53.901,81.625,88.134,29.13,0
14.181,113.15,118.72,1119,86.279,14.643,92.059,79.564,92.059,96.526,42.491,0
14.697,112.86,116.71,757,85.831,15.1,90.653,77.325,90.653,95.894,28.73,0
13.475,114.04,118.71,975,84.472,15.378,88.785,76.433,88.785,95.847,36.527,0
17.382,111.97,118.73,663,81.315,16.102,88.209,69.602,88.209,92.675,44.293,0
19.978,107.8,113.37,1046,75.051,16.121,78.668,63.95,78.668,87.484,32.514,0
21.083,107.05,112.98,1009,71.723,21.311,79.155,60.364,79.155,87.97,20.217,0
18.91,107.13,112.64,746,78.999,13.784,82.921,70.029,82.921,88.745,29.941,0
13.07,114.33,118.73,3753,88.178,12.297,91.076,83.409,91.076,97.04,50.502,1
15.191,112.48,118.72,3766,85.986,13.322,89.275,78.377,89.275,96.884,38.21,1
18.192,111.19,118.73,3611,78.904,17.622,84.799,66.846,84.799,93.2,27.688,1
14.773,112.82,118.72,2661,85.064,13.063,88.226,76.984,88.226,95.147,38.083,1
12.909,113.17,116.68,3767,89.047,11.115,92.228,82.991,92.228,97.476,53.779,2
14.109,112.03,115.64,2067,86.807,11.505,89.749,79.957,89.749,96.823,52.965,0
16.452,111.86,118.71,5050,82.989,16.516,88.279,74.386,88.279,96.17,21.158,2
14.584,114.7,118.77,3644,86.144,15.086,89.483,76.843,89.483,98.524,24.347,2
13.469,114.26,118.73,5784,87.851,15.02,92.724,82.481,92.724,98.749,31.347,2
17.223,110.12,118.67,1246,80.298,12.936,81.775,70.263,81.775,92.481,52.834,0
13.627,114.17,118.73,6844,87.354,15.142,92.32,81.561,92.32,98.903,26.28,2
16.178,113.54,118.76,2262,82.898,14.537,86.927,73.709,86.927,93.865,36.185,0
16.893,111.92,118.72,2970,81.817,16.528,86.286,75.259,86.286,94.405,17.611,0
15.101,112.3,118.71,1019,85.651,11.763,87.991,80.268,87.991,94.158,54.734,0
15.28,110.22,112.89,1466,85.023,12.445,88.72,79.237,88.72,94.412,39.271,1
11.432,115,118.73,3778,92.57,11.09,96.29,86.863,96.29,101.11,51.727,2
13.818,113.42,118.71,998,87.362,13.489,90.575,78.106,90.575,99,49.436,0
22.424,103.82,112.44,855,70.909,18.989,76.252,60.222,76.252,85.224,18.38,0
13.325,112.93,116.68,2272,88.872,10.864,91.023,81.622,91.023,97.213,52.86,0
24.235,102,110.44,766,67.938,16.757,70.167,57.134,70.167,81.997,32.176,0
19.258,107.46,113.31,841,78.477,16.451,83.854,68.902,83.854,91.764,27.447,0
16.379,109.04,114.31,1247,83.491,12.096,86.904,79.028,86.904,92.485,43.825,0
